"Comment","Designator","Footprint","LCSC Part #"
"1uF","C1,C13,C14,C15,C16,C25,C26,C27,C28,C37,C38,C39,C40,C49,C50,C51,C52","C_0402_1005Metric","C52923"
"20pF","C3,C2","C_0402_1005Metric","C1554"
"100uF","C8","CP_Elec_8x6.7","C127967"
"10uF","C9","C_0805_2012Metric","C15850"
"100n","C10,C11,C7,C6,C5,C4","C_0603_1608Metric","C14663"
"22uF","C12","C_0603_1608Metric","C59461"
"100p","C17,C18,C19,C20,C29,C30,C31,C32,C41,C42,C43,C44,C53,C54,C55,C56","C_0805_2012Metric","C1790"
"1uF","C21,C22,C23,C24,C33,C34,C35,C36,C45,C46,C47,C48,C57,C58,C59,C60","C_1206_3216Metric","C15849"
"10uF","C64,C62,C61,C63","C_1206_3216Metric","C13585"
"D_Schottky","D1","D_SOD-123","C8598"
"500mA","F1,F18,F19","Fuse_2512_6332Metric","C312001"
"15V 5A","F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17","Fuse_2920_7451Metric","C207089"
"4.7uH","L1,L2,L4,L3,L5,L6,L8,L7,L9,L10,L12,L11,L13,L14,L16,L15","SMD-PIND-10.5x11.5x4_2.5x3.0","C183899"
"S9013","Q1,Q5,Q6,Q7,Q17,Q18,Q19,Q20,Q33,Q34,Q35,Q36,Q49,Q50,Q51,Q52","SOT-23","C6749"
"BSS84","Q2,Q8,Q10,Q12,Q21,Q23,Q25,Q27,Q37,Q39,Q41,Q43,Q53,Q55,Q57,Q59","SOT-23","C8492"
"2N7002","Q3,Q9,Q11,Q4,Q22,Q24,Q26,Q28,Q38,Q40,Q42,Q44,Q54,Q56,Q58,Q60","SOT-23","C8545"
"VS5810AS","Q14,Q15,Q16,Q13,Q30,Q31,Q32,Q29,Q46,Q47,Q48,Q45,Q62,Q63,Q64,Q61","SOIC-8_3.9x4.9mm_P1.27mm","C427034"
"10k","R1,R4,R9,R10,R8,R20,R22,R23,R21,R36,R38,R39,R37,R52,R54,R55,R53","R_0402_1005Metric","C25744"
"1M","R2","R_0402_1005Metric","C26083"
"100k","R3","R_0402_1005Metric","C25741"
"1k","R5,R11,R12,R13,R24,R25,R26,R27,R40,R41,R42,R43,R56,R57,R58,R59","R_0402_1005Metric","C11702"
"22R","R6,R15,R14,R17,R16,R18,R19,R7,R28,R31,R30,R33,R32,R35,R34,R29,R44,R47,R46,R49,R48,R51,R50,R45,R60,R63,R62,R65,R64,R67,R66,R61","R_0603_1608Metric","C23345"
"STM32F103C8Tx","U1","LQFP-48_7x7mm_P0.5mm","C8734"
"AMS1117-3.3","U2","SOT-223-3_TabPin2","C6186"
"8MHz","Y1","Crystal_SMD_5032-2Pin_5.0x3.2mm","C115962"
