Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,165.500000,-94.750000,270.000000,top
C2,20pF,C_0402_1005Metric,166.300000,-89.900000,135.000000,top
C3,20pF,C_0402_1005Metric,160.600000,-91.300000,225.000000,top
C4,100n,C_0603_1608Metric,177.000000,-84.900000,0.000000,top
C5,100n,C_0603_1608Metric,164.400000,-87.800000,180.000000,top
C6,100n,C_0603_1608Metric,167.550000,-95.250000,180.000000,top
C7,100n,C_0603_1608Metric,180.400000,-92.800000,0.000000,top
C8,100uF,CP_Elec_8x6.7,182.000000,-113.900000,90.000000,top
C9,10uF,C_0805_2012Metric,182.462500,-107.000000,180.000000,top
C10,100n,C_0603_1608Metric,185.600000,-103.400000,90.000000,top
C11,100n,C_0603_1608Metric,177.500000,-106.300000,0.000000,top
C12,22uF,C_0603_1608Metric,172.450000,-98.850000,180.000000,top
C13,1uF,C_0402_1005Metric,196.700000,-86.900000,90.000000,top
C14,1uF,C_0402_1005Metric,196.700000,-80.100000,90.000000,top
C15,1uF,C_0402_1005Metric,196.700000,-73.300000,90.000000,top
C16,1uF,C_0402_1005Metric,196.650000,-66.450000,90.000000,top
C17,100p,C_0805_2012Metric,209.000000,-88.900000,180.000000,top
C18,100p,C_0805_2012Metric,221.400000,-76.700000,0.000000,top
C19,100p,C_0805_2012Metric,216.000000,-76.700000,0.000000,top
C20,100p,C_0805_2012Metric,208.900000,-64.100000,180.000000,top
C21,1uF,C_1206_3216Metric,251.880000,-88.800000,0.000000,top
C22,1uF,C_1206_3216Metric,229.000000,-76.700000,0.000000,top
C23,1uF,C_1206_3216Metric,236.100000,-76.700000,180.000000,top
C24,1uF,C_1206_3216Metric,251.880000,-64.700000,0.000000,top
C25,1uF,C_0402_1005Metric,196.700000,-115.100000,90.000000,top
C26,1uF,C_0402_1005Metric,196.700000,-108.300000,90.000000,top
C27,1uF,C_0402_1005Metric,196.700000,-101.500000,90.000000,top
C28,1uF,C_0402_1005Metric,196.650000,-94.650000,90.000000,top
C29,100p,C_0805_2012Metric,209.000000,-117.100000,180.000000,top
C30,100p,C_0805_2012Metric,221.400000,-104.900000,0.000000,top
C31,100p,C_0805_2012Metric,216.000000,-104.900000,0.000000,top
C32,100p,C_0805_2012Metric,208.900000,-92.300000,180.000000,top
C33,1uF,C_1206_3216Metric,251.880000,-117.000000,0.000000,top
C34,1uF,C_1206_3216Metric,229.000000,-104.900000,0.000000,top
C35,1uF,C_1206_3216Metric,236.100000,-104.900000,180.000000,top
C36,1uF,C_1206_3216Metric,251.880000,-92.900000,0.000000,top
C37,1uF,C_0402_1005Metric,149.100000,-66.450000,270.000000,top
C38,1uF,C_0402_1005Metric,149.100000,-73.250000,270.000000,top
C39,1uF,C_0402_1005Metric,149.100000,-80.050000,270.000000,top
C40,1uF,C_0402_1005Metric,149.150000,-86.900000,270.000000,top
C41,100p,C_0805_2012Metric,136.800000,-64.450000,0.000000,top
C42,100p,C_0805_2012Metric,124.400000,-76.650000,180.000000,top
C43,100p,C_0805_2012Metric,129.800000,-76.650000,180.000000,top
C44,100p,C_0805_2012Metric,136.900000,-89.250000,0.000000,top
C45,1uF,C_1206_3216Metric,93.920000,-64.549999,180.000000,top
C46,1uF,C_1206_3216Metric,116.800000,-76.650000,180.000000,top
C47,1uF,C_1206_3216Metric,109.700000,-76.650000,0.000000,top
C48,1uF,C_1206_3216Metric,93.920000,-88.650000,180.000000,top
C49,1uF,C_0402_1005Metric,149.100000,-94.650000,270.000000,top
C50,1uF,C_0402_1005Metric,149.100000,-101.450000,270.000000,top
C51,1uF,C_0402_1005Metric,149.100000,-108.250000,270.000000,top
C52,1uF,C_0402_1005Metric,149.150000,-115.100000,270.000000,top
C53,100p,C_0805_2012Metric,136.800000,-92.650000,0.000000,top
C54,100p,C_0805_2012Metric,124.400000,-104.850000,180.000000,top
C55,100p,C_0805_2012Metric,129.800000,-104.850000,180.000000,top
C56,100p,C_0805_2012Metric,136.900000,-117.450000,0.000000,top
C57,1uF,C_1206_3216Metric,93.920000,-92.749999,180.000000,top
C58,1uF,C_1206_3216Metric,116.800000,-104.850000,180.000000,top
C59,1uF,C_1206_3216Metric,109.700000,-104.850000,0.000000,top
C60,1uF,C_1206_3216Metric,93.920000,-116.850000,180.000000,top
C61,10uF,C_1206_3216Metric,194.500000,-91.000000,270.000000,top
C62,10uF,C_1206_3216Metric,165.600000,-99.900000,0.000000,top
C63,10uF,C_1206_3216Metric,192.200000,-91.000000,270.000000,top
C64,10uF,C_1206_3216Metric,160.900000,-106.900000,270.000000,top
D1,D_Schottky,D_SOD-123,160.050000,-95.100000,135.000000,top
F1,500mA,Fuse_2512_6332Metric,172.900000,-116.400000,180.000000,top
F2,15V 5A,Fuse_2920_7451Metric,244.200000,-85.900000,180.000000,top
F3,15V 5A,Fuse_2920_7451Metric,244.200000,-79.800000,180.000000,top
F4,15V 5A,Fuse_2920_7451Metric,244.200000,-73.700000,180.000000,top
F5,15V 5A,Fuse_2920_7451Metric,244.200000,-67.600000,180.000000,top
F6,15V 5A,Fuse_2920_7451Metric,244.200000,-114.100000,180.000000,top
F7,15V 5A,Fuse_2920_7451Metric,244.200000,-108.000000,180.000000,top
F8,15V 5A,Fuse_2920_7451Metric,244.200000,-101.900000,180.000000,top
F9,15V 5A,Fuse_2920_7451Metric,244.200000,-95.800000,180.000000,top
F10,15V 5A,Fuse_2920_7451Metric,101.600000,-67.450000,0.000000,top
F11,15V 5A,Fuse_2920_7451Metric,101.600000,-73.550000,0.000000,top
F12,15V 5A,Fuse_2920_7451Metric,101.600000,-79.650000,0.000000,top
